,产品标题,一级类目,二级类目,三级类目,Unnamed: 4,注：①一级类目系统可匹配，分为“服装”或“美妆”，服装类目数据对我们有研究意义                        ②“三级类目”为搜索产品标题关键字得到，可直接作为抓取分类依据,二级品类结果
234,2018新款冬季加厚加绒打底衫蕾丝显瘦PU皮上衣高领保暖长袖T恤女,女装,上衣,打底衫,,,上衣
235,2018新款冬季加厚棉袄修身羽绒棉服面包服潮小个子棉衣外套女短款b162,女装,外套,棉服,,,外套
236,2018新款冬季加厚金丝绒打底裤女外穿韩版百搭保暖小脚加绒裤子,女装,裤子,打底裤,,,裤子
237,2018新款冬季欧美中筒加绒高跟英伦马丁靴女粗跟后拉链靴子,女装,鞋,靴,,,鞋
238,2018新款冬季短款女装加厚修身纯色羽绒棉服f174,女装,外套,棉服,,,外套
239,2018新款冬季金丝绒韩版轻薄修身棉服短款小棉袄棒球服外套女,女装,外套,棉服,,,外套
240,2018新款冬装女 蕾丝花边V领加绒加厚打底衫大码小衫t恤,女装,上衣,打底衫,,,上衣
241,2018新款刺绣露肩连衣裙宽松棉麻a字裙,女装,连衣裙,连衣裙,,,连衣裙
242,2018新款加绒保暖毛绒装饰黑色马丁靴皮靴,女装,鞋,靴,,,鞋
243,2018新款加绒加厚个性亮片凤凰花长袖打底衫,女装,上衣,打底衫,,,上衣
244,2018新款加绒加厚保暖长袖格子衬衫女过膝宽松开衫外套中长款,女装,上衣,开衫,,,上衣
245,2018新款加绒加厚宽松女士中长款长袖打底衫T恤女上衣秋冬装,女装,上衣,打底衫,,,上衣
246,2018新款加绒加厚紧身皮裤高腰黑色外穿打底裤,女装,裤子,打底裤,,,裤子
247,2018新款加绒踩脚显瘦锦纶光泽裤打底裤女外穿秋冬季,女装,裤子,打底裤,,,裤子
248,2018新款半高领秋冬套头针织打底衫女长袖百搭【DB】c106,女装,上衣,打底衫,,,其它
249,2018新款半高领针织衫气质百搭加大撞色打底连衣裙长款毛衣【DB】f991,女装,连衣裙,连衣裙,,,上衣
250,2018新款单鞋女鞋子低帮鞋韩版时尚圆头中跟松糕鞋,女装,鞋,单鞋,,,鞋
251,2018新款单鞋女鞋子低帮鞋韩版时尚尖头中跟松糕鞋,女装,鞋,单鞋,,,鞋
252,2018新款印花弹力长袖T恤纱网打底衫秋大码女装,女装,上衣,打底衫,,,上衣
253,2018新款印花弹力长袖T恤纱网打底衫秋大码女装【qh】,女装,上衣,打底衫,,,上衣
254,2018新款双肩包牛津布韩版潮百搭背包时尚休闲书包旅行包上新包包,女装,包包,背包,,,包包
255,2018新款喇叭裤微喇侧条纹休闲运动阔腿裤长裤女大码百搭,女装,裤子,阔腿裤,,,裤子
256,2018新款围巾纯色丝巾女欧根纱丝巾防晒披肩沙滩巾yh,女装,配饰,围巾,,,配饰
257,2018新款复古文艺大码民族风长袖长裙宽松显瘦休闲连衣裙,女装,连衣裙,连衣裙,,,连衣裙
258,2018新款复古阔腿裤女长裤宽松文艺休闲裤子,女装,裤子,阔腿裤,,,裤子
259,2018新款夏玛丽珍女鞋复古方头粗跟鞋优雅单鞋 2色可选,女装,鞋,单鞋,,,鞋
260,2018新款多功能大容量女包车职场通勤手提包女士妈妈包单肩斜跨简约包包CGDZ-4 f365,女装,包包,手提包,,,包包
261,2018新款多夹层单肩斜挎包包 时尚拉链女士包包,女装,包包,斜挎包,,,包包
262,2018新款大码女装中长款假两件针织衫拼接衬衫,女装,上衣,针织衫,,,上衣
263,2018新款大码女装中长款呢子印花大衣显瘦毛呢长袖外套披风,女装,外套,大衣,,,外套
264,2018新款大码女装修身显瘦中长款圆领打底衫女,女装,上衣,打底衫,,,上衣
265,2018新款大码女装胖mm中长款打底衫宽松显瘦连衣裙,女装,连衣裙,连衣裙,,,连衣裙
266,2018新款大码牛仔裤 胖mm秋冬韩版加肥加大码裤子显瘦女裤,女装,裤子,牛仔裤,,,裤子
267,2018新款大码韩版时尚休闲阔腿裤两件套,女装,裤子,阔腿裤,,,套装
268,2018新款夹趾凉鞋女夏学生百搭平底绑带休闲软底防滑罗马沙滩凉鞋,女装,鞋,凉鞋,,,鞋
269,2018新款套头针织打底衫韩版女装中长款大码宽松圆领毛衣秋冬百搭【DB】f796,女装,上衣,打底衫,,,上衣
270,2018新款套头针织打底衫韩版女装中长款大码宽松圆领毛衣秋冬百搭【DB】h358,女装,上衣,打底衫,,,上衣
271,2018新款女中长款35-45长裙婚宴妈妈金丝绒连衣裙,女装,连衣裙,连衣裙,,,连衣裙
272,2018新款女中长款35-45长裙婚宴妈妈金丝绒连衣裙i054,女装,连衣裙,连衣裙,,,连衣裙
273,2018新款女包包小方包韩版格子单肩包,女装,包包,单肩包,,,包包
274,2018新款女包时尚单肩斜跨高贵优雅立体花手提包,女装,包包,手提包,,,包包
275,2018新款女包欧美潮时尚百搭单肩包软皮PU女包斜跨包女包,女装,包包,单肩包,,,包包
276,2018新款女包潮流手提包 欧美编织妈妈包,女装,包包,手提包,,,包包
277,2018新款女包韩版时尚女士单肩包简约百搭斜挎小包包,女装,包包,单肩包,,,包包
278,2018新款女包韩版时尚爆款女包手提包单肩斜挎包包复古大包,女装,包包,手提包,,,包包
279,2018新款女士包包简约百搭单肩包斜挎包多功能时尚潮流包包HLX-4 f295,女装,包包,单肩包,,,包包
280,2018新款女士单肩斜挎包简约软皮小方包韩版妈咪包,女装,包包,斜挎包,,,包包
281,2018新款女士格子春秋装毛绒韩版外披百搭小外衣潮,女装,外套,外衣,,,外套
282,2018新款女士格子春秋装毛绒韩版外披百搭小外衣潮h302,女装,外套,外衣,,,外套
283,2018新款女士毛衣韩版中长款针织衫开衫披肩长袖大码秋季外套,女装,上衣,开衫,,,上衣
284,2018新款女士高跟鞋时尚百搭尖头细跟短靴,女装,鞋,高跟鞋,,,鞋
285,2018新款女秋冬季洋气网红女神气质针织两件套装时尚,女装,套装,套装,,,套装
286,2018新款女装 大码女装 胖mm显瘦 蕾丝拼接圆领长袖连衣裙女N[3.14],女装,连衣裙,连衣裙,,,连衣裙
287,2018新款女装冬天韩版外套中长款棉袄淑女羽绒棉衣棉服,女装,外套,棉服,,,外套
288,2018新款女装冬天韩版外套中长款棉袄淑女羽绒棉衣棉服g889,女装,外套,棉服,,,外套
289,2018新款女装冬装宽松大码中长款毛呢外套女a字呢子大衣加厚,女装,外套,大衣,,,外套
290,2018新款女装外套开衫毛衣短款长袖秋薄针织大码韩版宽松上衣潮,女装,上衣,开衫,,,上衣
291,2018新款女装外套开衫毛衣短款长袖秋薄针织大码韩版宽松上衣潮h223,女装,上衣,开衫,,,上衣
292,2018新款女装套头毛衣短款半高领针织打衫宽松加厚外搭g310,女装,上衣,毛衣,,,上衣
293,2018新款女装套头羊绒毛衣短款半高领针织打底羊毛衫宽松加厚外搭,女装,上衣,毛衣,,,其它
294,2018新款女装套头羊绒毛衣短款半高领针织打底羊毛衫宽松加厚外搭g310,女装,上衣,毛衣,,,其它
295,2018新款女装妈妈装秋冬新款保暖内衣圆领套装,女装,日用,保暖内衣,,,套装
296,2018新款女装披肩复古刺绣气质高端时尚大码外套连衣裙,女装,连衣裙,连衣裙,,,连衣裙
297,2018新款女装秋冬大码两件套裤格子毛呢外套九分裤休闲时尚套装女f139,女装,外套,外套,,,套装
298,2018新款女装秋装时尚条纹印花气质连衣裙子显瘦七分袖藏肉A字裙,女装,连衣裙,连衣裙,,,裙子
299,2018新款女装秋装裙子蕾丝连衣裙长袖秋冬内搭打底显瘦气质长裙潮,女装,连衣裙,连衣裙,,,其它
300,2018新款女装秋装裙子蕾丝连衣裙长袖秋冬内搭打底显瘦气质长裙潮h411,女装,连衣裙,连衣裙,,,其它
301,2018新款女装绣花V领衬衣雪纺衫上衣,女装,上衣,雪纺衫,,,上衣
302,2018新款女装衬衫女韩范时尚v领小衫气质长袖衬衣,女装,上衣,衬衫,,,上衣
303,2018新款女装重工刺绣韩版修身显瘦A字大摆连衣裙,女装,连衣裙,连衣裙,,,连衣裙
304,2018新款女装韩版休闲中长款风衣学生外套,女装,外套,风衣,,,外套
305,2018新款女装韩版开叉长裙气质收腰显瘦连衣裙女,女装,连衣裙,连衣裙,,,连衣裙
306,2018新款女装韩版拼接修身连帽棉服纯色牛仔棉衣外套,女装,外套,棉服,,,外套
307,2018新款女装韩版潮时尚百搭上衣服长袖t恤秋季雪纺打底衫BMDF-4,女装,上衣,打底衫,,,上衣
308,2018新款女鞋子欧美金属侧拉链马丁靴女冬天短靴平底内增高女靴子棉鞋,女装,鞋,短靴,,,鞋
309,2018新款女鞋小跟粗跟英伦韩版百搭矮靴子女踝靴马丁靴短靴女,女装,鞋,短靴,,,鞋
310,2018新款女鞋潮增厚底百搭ulzzang弹力袜子鞋,女装,日用,袜子,,,鞋
311,2018新款女鞋短靴女秋冬英伦风高跟马丁靴高跟粗跟侧拉链单靴WLZF-4,女装,鞋,短靴,,,鞋
312,2018新款宽松套头秋冬百搭短款韩版小款低领打底衫潮【DB】e197,女装,上衣,打底衫,,,上衣
313,2018新款宽松破洞牛仔裤女 九分乞丐哈伦裤子,女装,裤子,牛仔裤,,,裤子
314,2018新款小心机韩版阔腿裤港风时髦学生闺蜜女神范两件套,女装,裤子,阔腿裤,,,套装
315,2018新款帽子口罩围脖三件套女韩版毛线帽冬天加绒加厚针织帽br,女装,日用,口罩,,,日用
316,2018新款平底乐懒人帆布鞋女刺绣花小香风卡通亚麻草编渔夫鞋,女装,鞋,鞋,,,鞋
317,2018新款平跟软底舒适妈妈鞋时尚一脚蹬皮鞋女鞋,女装,鞋,鞋,,,鞋
318,2018新款弹力仿牛仔打底裤炒雪花加大码长裤修身女裤,女装,裤子,打底裤,,,裤子
319,2018新款微喇牛仔裤女修身韩版大码弹力时尚喇叭长裤,女装,裤子,牛仔裤,,,裤子
320,2018新款性感金丝网纱心机印花长袖百搭打底衫,女装,上衣,打底衫,,,上衣
321,2018新款慵懒风毛衣女百搭学生针织衫小清新甜美外穿秋冬【DB】f883,女装,上衣,针织衫,,,上衣
322,2018新款打底毛衣配裙子两件套装秋冬季过膝长裙【DB】b173,女装,套装,套装,,,套装
323,2018新款打底衫女长袖上衣大码修身T恤百搭V领小衫潮,女装,上衣,打底衫,,,上衣
324,2018新款改良旗袍修身纯色中长款连衣裙无袖女,女装,连衣裙,连衣裙,,,连衣裙
325,2018新款文艺民族风印花长袖T恤女装大码宽松圆领打底衫,女装,上衣,打底衫,,,上衣
326,2018新款斜挎经典韩版多功能时尚百搭女士单肩手提包女CGDZ-4  f195,女装,包包,手提包,,,包包
327,2018新款方头短靴女粗跟鞋欧美高跟鞋切尔西短靴,女装,鞋,高跟鞋,,,鞋
328,2018新款时尚修身显瘦高领加绒加厚连衣裙DM【DB】,女装,连衣裙,连衣裙,,,连衣裙
329,2018新款时尚修身显瘦高领加绒加厚连衣裙DM【DB】g840,女装,连衣裙,连衣裙,,,连衣裙
330,2018新款时尚名媛小香风毛呢针织套装,女装,套装,套装,,,套装
331,2018新款时尚垂坠感毛呢百搭经典大摆A字毛呢裙,女装,裙子,裙,,,裙子
332,2018新款时尚大码休闲运动套装女显瘦金丝绒套头卫衣两件套潮,女装,套装,套装,,,套装
333,2018新款时尚女包韩版潮流手提包百搭单肩斜挎绣花包,女装,包包,手提包,,,包包
334,2018新款时尚宽松气质针织衫秋冬白色打底衫潮【DB】f387,女装,上衣,打底衫,,,上衣
335,2018新款时尚小方包女包单肩斜跨链条b\g,女装,包包,女包,,,包包
336,2018新款时尚性感绣花珠片修身显瘦长袖加绒打底衫,女装,上衣,打底衫,,,其它
337,2018新款时尚格子套装裙显瘦一字肩短裙两件套,女装,套装,套装,,,套装
338,2018新款时尚棉麻提花绣花加绒加厚长款马甲,女装,外套,马甲,,,外套
339,2018新款时尚欧美单肩包斜跨手提多功能女包,女装,包包,单肩包,,,包包
340,2018新款时尚气质修身显瘦短款马甲,女装,外套,马甲,,,外套
341,2018新款时尚连帽休闲棉衣服女冬季羽绒棉服女g924,女装,外套,棉服,,,外套
342,2018新款时尚针织打底衫高领弹力针织衫修身秋冬女装假两件套头毛衣f337,女装,上衣,打底衫,,,上衣
343,2018新款时尚长袖连衣裙韩版加绒加厚修身大码显瘦打底裙,女装,连衣裙,连衣裙,,,连衣裙
344,2018新款时尚高领宽松针织中长款打底连衣裙,女装,连衣裙,连衣裙,,,连衣裙
345,2018新款时尚高领百搭显瘦长袖加绒加厚蕾丝网纱打底衫,女装,上衣,打底衫,,,上衣
346,2018新款条纹拼接冬装新款显瘦  大码2色连衣裙,女装,连衣裙,连衣裙,,,连衣裙
347,2018新款条纹毛衣韩版大码宽松加厚中长款针织女开衫外套上衣,女装,上衣,开衫,,,上衣
348,2018新款格子单鞋细跟浅口高跟鞋韩版时尚舒适百搭学生女鞋潮,女装,鞋,高跟鞋,,,鞋
349,2018新款棉裤女修身显瘦小脚裤松紧腰加厚保暖打底裤外穿,女装,裤子,小脚裤,,,裤子
350,2018新款棉裤女外穿修身显瘦高腰羽绒棉裤冬季加厚保暖小脚裤,女装,裤子,小脚裤,,,裤子
351,2018新款植物羊绒四件套,女装,家纺,四件套,,,家纺
352,2018新款植物羊绒四件套f434,女装,家纺,四件套,,,家纺
353,2018新款欧洲站时尚长筒靴女过膝高跟女靴子防水台圆头系带高筒靴,女装,鞋,靴,,,鞋
354,2018新款欧美时尚百搭经典编织大容量单肩手拿女包多功能气质女士包CGDZ-4,女装,包包,女包,,,包包
355,2018新款欧美针织长袖打底裙秋冬装女连衣裙中长z267,女装,连衣裙,连衣裙,,,连衣裙
356,2018新款欧美风水洗皮单肩包时尚百搭旅行编织女包手提包,女装,包包,单肩包,,,包包
357,2018新款毛呢女大码加厚宽松印花长袖格子连衣裙,女装,连衣裙,连衣裙,,,连衣裙
358,2018新款毛呢裙裤九分裤女裤甩腿裤女,女装,裤子,女裤,,,裤子
359,2018新款毛呢裙裤九分裤女裤甩腿裤女h276,女装,裤子,女裤,,,裤子
360,2018新款毛呢阔腿裤九分裤女条纹休闲加厚高腰直筒裤c112,女装,裤子,阔腿裤,,,裤子
361,2018新款毛女士包时尚豹纹可爱毛绒毛毛包包单肩斜跨水桶包,女装,包包,包包,,,包包
362,2018新款毛毛鞋平底皮带扣女单鞋格子浅口瓢鞋女套脚女鞋hh,女装,鞋,单鞋,,,鞋
363,2018新款毛衣女宽松韩版时尚半高领套头长袖简约百搭针织衫秋f736,女装,上衣,针织衫,,,上衣
364,2018新款毛衣女早秋针织打底衫中长款高圆领长袖修身时尚,女装,上衣,打底衫,,,其它
365,2018新款毛衣女秋冬套头针织衫宽松拼色高领打底衫堆堆领长袖毛衫,女装,上衣,打底衫,,,上衣
366,2018新款毛衣裙子秋冬中长款chic早秋毛线长袖连衣裙【DB】,女装,连衣裙,连衣裙,,,连衣裙
367,2018新款民族风休闲套装拼接印花短袖+休闲松紧腰七分萝卜裤,女装,上衣,短袖,,,裤子
368,2018新款民族风长袖连衣裙秋装女复古宽松花色长裙子,女装,连衣裙,连衣裙,,,裙子
369,2018新款气质拼接蕾丝针织衫女套头毛衣【DB】f143,女装,上衣,针织衫,,,上衣
370,2018新款气质拼接蕾丝针织衫女套头毛衣【DB】h356,女装,上衣,针织衫,,,上衣
371,2018新款油腊皮女士子母包 手提包包 单肩水桶包大包包,女装,包包,手提包,,,包包
372,2018新款洋气减龄显瘦两件套卫衣套装加大码遮肚子肉显瘦两件套套装,女装,套装,套装,,,套装
373,2018新款洋气小衫女装春秋冬蕾丝加绒打底衫长袖中长款遮肚子上衣,女装,上衣,打底衫,,,上衣
374,2018新款洋气小衫女装春秋冬蕾丝加绒打底衫长袖中长款遮肚子上衣d171,女装,上衣,打底衫,,,上衣
375,2018新款漆皮珠片时尚手提斜跨女包亮片欧美包包,女装,包包,包包,,,包包
376,2018新款潮女鞋子冬款韩版时尚百搭秋款性感高跟鞋短靴休闲女靴子,女装,鞋,高跟鞋,,,鞋
377,2018新款潮女鞋子冬款韩版时尚百搭秋款性感高跟鞋短靴休闲女靴子h314,女装,鞋,高跟鞋,,,鞋
378,2018新款潮流女包韩版单肩手提包撞色PU皮时尚手袋,女装,包包,手提包,,,包包
379,2018新款牛仔裤加绒加厚女显瘦修身小脚高腰裤女,女装,裤子,牛仔裤,,,裤子
380,2018新款牛仔裤女阔腿裤高腰宽松直筒裤春秋冬长裤,女装,裤子,阔腿裤,,,裤子
381,2018新款牛仔裤女高腰显瘦小脚裤子外穿长裤九分裤g203,女装,裤子,小脚裤,,,裤子
382,2018新款牛仔裤女高腰显瘦小脚裤子外穿长裤九分裤h708,女装,裤子,小脚裤,,,裤子
383,2018新款牛仔连衣裙女装秋季气质韩版时尚收腰长袖中长款a字裙子,女装,连衣裙,连衣裙,,,裙子
384,2018新款牛津布双肩包 大容量学生书包 旅行背包潮,女装,包包,背包,,,包包
385,2018新款百搭加绒运动鞋女韩版新款原宿休闲跑步小白鞋,女装,鞋,运动鞋,,,鞋
386,2018新款百搭大气印花大容量单肩包时尚多功能斜挎女士包个性手提包HLX-4,女装,包包,单肩包,,,包包
387,2018新款百搭女士粗跟短靴女毛毛靴防滑皮靴,女装,鞋,短靴,,,鞋
388,2018新款短款小棉衣女冬装加厚保暖小棉袄时尚棉服女外套潮d187,女装,外套,棉服,,,外套
389,2018新款短款小棉衣女冬装加厚保暖小棉袄时尚棉服女外套潮h743,女装,外套,棉服,,,外套
390,2018新款短靴女尖头鞋粗跟高跟潮流时尚拼色搭扣靴子单靴,女装,鞋,短靴,,,鞋
391,2018新款碎花雪纺冷淡风ins超火的连衣裙女a字中长裙子,女装,连衣裙,连衣裙,,,裙子
392,2018新款磨砂中跟显瘦套脚保暖中筒马丁靴百搭粗跟女靴WLDF-2,女装,鞋,靴,,,鞋
393,2018新款秋冬内搭长袖t恤女式加绒打底衫修身保暖秋衣外穿网纱潮A103,女装,上衣,打底衫,,,其它
394,2018新款秋冬切尔西裸靴粗跟马丁靴加绒舒适短靴hh,女装,鞋,短靴,,,鞋
395,2018新款秋冬加绒加厚蕾丝打底衫女长袖大码镂空保暖上衣洋气小衫,女装,上衣,打底衫,,,上衣
396,2018新款秋冬复古优雅胖MM立领宽松蕾丝加绒加厚长款旗袍连衣裙,女装,连衣裙,连衣裙,,,连衣裙
397,2018新款秋冬大码女装加绒加厚打底连衣裙宽松遮肚子显瘦连衣裙,女装,连衣裙,连衣裙,,,连衣裙
398,2018新款秋冬女上衣宽松V领针织打底衫女可外穿,女装,上衣,打底衫,,,上衣
399,2018新款秋冬女包时尚斜挎包女韩版小包CWL-3,女装,包包,斜挎包,,,包包
400,2018新款秋冬女士长袖连衣裙名媛气质两件套蕾丝拼接裙子套装裙a128,女装,连衣裙,连衣裙,,,裙子
